timestamp,symbol,close,open,high,low,close_less_than_ma10_5m,ma10_5m_less_than_ma30_5m,ma30_5m_less_than_ma60_5m,change_rate_5m,boll_range_rate_5m,close_ma60_rate_5m,close_ma60_rate_4h,volume_ma20_rate_5m,volume_ma20_rate_4h,rsi_4h,close_ma30_rate_1d
1672556400000,ETHUSDT,1194.41,1194.81,1195.18,1194.4,0,0,1,-0.00034,0.00134,0.00042,-0.01189,1.96365,0.58914,33.92,-0.03156
1672556700000,ETHUSDT,1194.72,1194.41,1194.92,1193.91,0,0,0,0.00025,0.00127,0.00068,-0.01189,2.20907,0.58914,33.92,-0.03156
1672557000000,ETHUSDT,1194.37,1194.72,1194.72,1193.63,0,0,0,-0.0003,0.00127,0.00039,-0.01189,1.10804,0.58914,33.92,-0.03156
1672557300000,ETHUSDT,1193.66,1194.36,1194.37,1193.04,1,0,0,-0.0006,0.00133,-0.00021,-0.01189,1.36771,0.58914,33.92,-0.03156
1672557600000,ETHUSDT,1193.32,1193.67,1193.67,1193.22,1,0,0,-0.00029,0.00142,-0.00041,-0.01189,1.14444,0.58914,33.92,-0.03156
1672557900000,ETHUSDT,1194.6,1193.31,1194.61,1193.16,0,0,0,0.00107,0.00143,0.00067,-0.01189,1.63234,0.58914,33.92,-0.03156
1672558200000,ETHUSDT,1194.57,1194.61,1194.61,1194.23,0,0,0,-0.00003,0.00144,0.00064,-0.01189,0.32089,0.58914,33.92,-0.03156
1672558500000,ETHUSDT,1194.78,1194.57,1194.78,1193.8,0,0,0,0.00017,0.00143,0.00082,-0.01189,0.98678,0.58914,33.92,-0.03156
1672558800000,ETHUSDT,1195.16,1194.77,1195.17,1194.77,0,0,0,0.00031,0.00153,0.00113,-0.01189,1.03334,0.58914,33.92,-0.03156
1672559100000,ETHUSDT,1195.12,1195.16,1195.21,1195.11,0,0,0,-0.00004,0.00154,0.0011,-0.01189,1.05725,0.58914,33.92,-0.03156
1672559400000,ETHUSDT,1194.91,1195.12,1195.75,1194.61,0,0,0,-0.00018,0.00152,0.00101,-0.01189,2.25257,0.58914,33.92,-0.03156
1672559700000,ETHUSDT,1195.06,1194.92,1195.59,1194.91,0,0,0,0.00012,0.00158,0.00113,-0.01189,0.95066,0.58914,33.92,-0.03156
1672560000000,ETHUSDT,1195.9,1195.07,1195.9,1195.05,0,0,0,0.0007,0.00183,0.00175,-0.0108,1.55989,0.5539,39.5,-0.03156
1672560300000,ETHUSDT,1194.84,1195.9,1195.9,1194.84,0,0,0,-0.00089,0.00185,0.00087,-0.0108,1.01974,0.5539,39.5,-0.03156
